Date,Open,Low,High,Close,Change,ChangePercent
1399/03/09,73680000,73620000,74500000,73770000,70000.0,0.09
1399/03/10,73570000,73120000,73850000,73120000,650000.0,0.89
1399/03/11,74230000,73970000,74650000,74650000,1530000.0,2.09
1399/03/12,74300000,74020000,74380000,74350000,300000.0,0.4
1399/03/16,73050000,72420000,73530000,72730000,1620000.0,2.23
1399/03/17,73270000,73070000,73470000,73120000,390000.0,0.54
1399/03/18,73030000,72430000,73120000,72480000,640000.0,0.88
1399/03/19,73440000,73370000,74230000,74200000,1720000.0,2.37
1399/03/20,74170000,74170000,75600000,75580000,1380000.0,1.86
1399/03/21,75810000,75670000,76300000,76180000,600000.0,0.79
1399/03/22,76180000,76180000,76180000,76180000,,
1399/03/23,75850000,75170000,75870000,75220000,960000.0,1.28
1399/03/24,75450000,75350000,76350000,76300000,1080000.0,1.44
1399/03/25,76550000,76240000,77120000,76570000,270000.0,0.35
1399/03/26,76830000,76470000,77200000,76810000,240000.0,0.31
1399/03/27,76810000,76810000,76810000,76810000,,
1399/03/28,77750000,77640000,78000000,77800000,990000.0,1.29
1399/03/29,77800000,77800000,77800000,77800000,,
1399/03/30,78750000,78260000,78920000,78400000,600000.0,0.77
1399/03/31,79370000,79350000,80550000,80400000,2000000.0,2.55
1399/04/01,81500000,81280000,82300000,81680000,1280000.0,1.59
1399/04/02,84380000,84180000,85700000,85180000,3500000.0,4.29
1399/04/03,84800000,83280000,85400000,83950000,1230000.0,1.47
1399/04/04,82780000,82130000,83000000,82180000,1770000.0,2.15
1399/04/05,82180000,82180000,82180000,82180000,,
1399/04/06,83300000,82930000,85200000,85200000,3020000.0,3.67
1399/04/07,88000000,86880000,88050000,87180000,1980000.0,2.32
1399/04/08,88330000,87430000,88500000,87730000,550000.0,0.63
1399/04/09,89000000,88830000,90200000,90180000,2450000.0,2.79
1399/04/10,88950000,88480000,91150000,90830000,650000.0,0.72
1399/04/11,90850000,90830000,95400000,94680000,3850000.0,4.24
1399/04/13,96680000,96230000,100300000,100300000,5620000.0,5.94
1399/04/14,102580000,101480000,104700000,104180000,3880000.0,3.87
